PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
MDR003259,,,5093,Scrap And Waste Materials
MDR003260,,,5093,Scrap And Waste Materials
MDR003262,811310,Commercial & Industrial Machinery & Equipment [except Automotive & Electronic] Repair & Maintenance,,
MDR003264,,,2875,"Fertilizers, Mixing Only"
MDR003266,,,4141,Local Bus Charter Service
MDR003270,,,2813,Industrial Gases
MDR003271,,,0783,Ornamental Shrub And Tree Services
MDR003274,,,2951,Asphalt Paving Mixtures And Blocks
MDR003275,,,3446,Architectural Metal Work
MDR003277,,,2082,Malt Beverages
MDR003278,,,4212,"Local Trucking, Without Storage"
MDR003280,,,4212,"Local Trucking, Without Storage"
MDR003281,,,8221,Colleges And Universities
MDR003283,,,4131,Intercity & Rural Bus Transportation
MDR003284,333241,Food Product Machinery Manufacturing,,
MDR003285,,,2084,"Wines, Brandy, And Brandy Spirits"
MDR003287,,,2084,"Wines, Brandy, And Brandy Spirits"
MDR003288,,,2082,Malt Beverages
MDR003290,,,2434,Wood Kitchen Cabinets
MDR003291,,,1771,Concrete Work
MDR003292,311613,Rendering and Meat Byproduct Processing,,
MDR003293,312140,Distilleries,,
MDR003296,,,2491,Wood Preserving
MDR003297,,,4953,Refuse Systems
MDR003299,,,3082,Unsupported Plastics Profile Shapes
MDR003300,,,3499,Fabricated Metal Products
MDR003302,,,2851,Paints And Allied Products
MDR003303,,,4911,Electric Services
MDR003304,,,3281,Cut Stone And Stone Products
MDR003305,,,2084,"Wines, Brandy, And Brandy Spirits"
MDR003306,,,2082,Malt Beverages
MDR003310,,,2084,"Wines, Brandy, And Brandy Spirits"
MDR003311,,,3081,Unsupported Plastics Film & Sheet
MDR003313,,,3993,Signs And Advertising Specialities
MDR003314,,,2085,Distilled And Blended Liquors
MDR003316,,,2099,Food Preparations
MDR003317,,,3534,Elevators And Moving Stairways
MDR003319,,,5015,"Motor Vehicle Parts, Used"
MDR003324,,,5093,Scrap And Waste Materials
MDR003325,,,4151,School Buses
MDR003327,,,2084,"Wines, Brandy, And Brandy Spirits"
MDR003328,,,5015,"Motor Vehicle Parts, Used"
MDR003329,311513,Cheese Manufacturing,,
MDR003331,,,5032,"Brick, Stone, & Related Materials"
MDR003332,,,7699,Repair Services
MDR003333,,,5093,Scrap And Waste Materials
MDR003335,,,4212,"Local Trucking, Without Storage"
MDR003337,,,2048,Prepared Feeds
MDR003338,,,3479,Metal Coating And Allied Services
MDR003342,,,4911,Electric Services
MDR003343,,,4212,"Local Trucking, Without Storage"
MDR003344,,,3769,Space Vehicle Equipment
MDR003346,,,4212,"Local Trucking, Without Storage"
MDR003347,,,4225,General Warehousing And Storage
MDR003348,,,3743,Railroad Equipment
MDR003350,,,3531,Construction Machinery
MDR003352,,,2082,Malt Beverages
MDR003354,,,1623,"Water, Sewer, And Utility Lines"
MDR003355,,,5015,"Motor Vehicle Parts, Used"
MDR003359,,,4011,"Railroads, Line-Haul Operating"
MDR003360,,,3295,"Minerals, Ground Or Treated"
MDR003361,,,7538,General Automotive Repair Shops
MDR003364,,,4225,General Warehousing And Storage
MDR003365,,,4212,"Local Trucking, Without Storage"
MDR003366,,,4111,Local And Suburban Transit
MDR003367,,,3599,Industrial Machinery
MDR003368,,,5093,Scrap And Waste Materials
MDR003369,,,5013,Motor Vehicle Supplies And New Parts
MDR003370,,,4212,"Local Trucking, Without Storage"
MDR003371,,,4212,"Local Trucking, Without Storage"
MDR003372,,,3444,Sheet Metal Work
MDR003373,,,4173,Bus Terminal And Service Facilities
MDR003374,,,4953,Refuse Systems
MDR003375,,,4581,"Airports, Flying Fields, & Services"
MDR003376,,,4225,General Warehousing And Storage
MDR003377,,,2819,Industrial Inorganic Chemicals
MDR003378,,,3444,Sheet Metal Work
MDR003379,,,2499,Wood Products
MDR003384,,,4225,General Warehousing And Storage
MDR003386,,,1611,Highway And Street Construction
MDR003388,,,2621,Paper Mills
MDR003389,,,5015,"Motor Vehicle Parts, Used"
MDR003390,,,5093,Scrap And Waste Materials
MDR003391,,,4119,Local Passenger Transportation
MDR003392,,,4953,Refuse Systems
MDR003393,,,4212,"Local Trucking, Without Storage"
MDR003394,,,3085,Plastics Bottles
MDR003395,,,1611,Highway And Street Construction
MDR003399,,,8748,Business Consulting
MDR003402,,,2599,Furniture And Fixtures
MDR003403,,,2411,Logging
MDR003404,,,5015,"Motor Vehicle Parts, Used"
MDR003405,,,5015,"Motor Vehicle Parts, Used"
MDR003406,,,2653,Corrugated And Solid Fiber Boxes
MDR003409,,,4231,Trucking Terminal Facilities
MDR003411,,,4952,Sewerage Systems
MDR003412,,,2835,Diagnostic Substances
MDR003415,,,2499,Wood Products
MDR003417,,,4911,Electric Services
MDR003418,,,4911,Electric Services
MDR003419,,,3732,Boat Building And Repairing
MDR003421,,,4911,Electric Services
